"gid"|"categoria"|"nome"|"citta"|"indirizzo"|"numero"|"cap"|"fonte"|"note"|"pubblicabile"|"verificato"|"datains"|"utenins"|"datamod"|"utenmod"|"dataver"|"utenver"|"geom"|"distanza_minima"|"comune_ist"|"comune_nom"
"13931"|"slot"|"EA010001379A"|"DORMELLETTO (NO)"|"VIA ENRICO FERMI 2, DORMELLETTO (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000ECD2E016C3811C41FCEC43AC41525341"|"300"|"003062"|"Dormelletto"
"13932"|"slot"|"EA010038247R"|"CASTELLAZZO BORMIDA"|"VIA XXV APRILE 44, CASTELLAZZO BORMIDA (AL)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00007D99E5E7057A1C41CFEA32527CF15241"|"300"|"006047"|"Castellazzo Bormida"
"13933"|"slot"|"EA010001672R"|"GRANOZZO CON MONTICELLO (NO)"|"VIA GRAMSCI 9, GRANOZZO CON MONTICELLO (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000183278CF247C1C417AACA68F76295341"|"300"|"003077"|"Granozzo con Monticello"
"13934"|"slot"|"EA010001408R"|"VERBANIA (VB)"|"VIA CASANA 7, VERBANIA (VB)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00000743A05B7B811C41064CAA0F20685341"|"500"|"103072"|"VERBANIA"
"13935"|"slot"|"EA670047409A"|"VERBANIA (VB)"|"VIA DE BONIS 63, VERBANIA (VB)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000EB1B93E1A6811C411A9A1A4C04685341"|"500"|"103072"|"VERBANIA"
"13936"|"slot"|"EA010001976A"|"NOVARA (NO)"|"VIA PIER LOMBARDO - FRAZ. LUMELLOGNO 19, NOVARA (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000CD821F11FD7C1C416956B16EF82F5341"|"500"|"003106"|"NOVARA"
"13937"|"slot"|"EA690146221A"|"DORMELLETTO (NO)"|"VIA ROMA 10, DORMELLETTO (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F000050A24120A67E1C414C1A30B366515341"|"300"|"003062"|"Dormelletto"
"13938"|"slot"|"EA010002044A"|"CASTELLAZZO BORMIDA"|"VIA DIAZ 2, CASTELLAZZO BORMIDA (AL)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00007268E8DEFB761C41B7EADB9815F15241"|"300"|"006047"|"Castellazzo Bormida"
"13939"|"slot"|"EA670014059S"|"VERBANIA (VB)"|"CORSO COBIANCHI 40, VERBANIA (VB)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00008A22686E3D811C41163D85781D685341"|"500"|"103072"|"VERBANIA"
"13940"|"slot"|"EA670157656R"|"VERBANIA (VB)"|"VIA A. DEBONIS 71/B, VERBANIA (VB)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F000029735BF04A811C4145AB79B709685341"|"500"|"103072"|"VERBANIA"
"13941"|"slot"|"EA010001372R"|"DORMELLETTO (NO)"|"VIA SAN ROCCO 10, DORMELLETTO (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000827AC91B337D1C41FC8C9D8466515341"|"300"|"003062"|"Dormelletto"
"13942"|"slot"|"EA010014962A"|"VALENZA"|"STRADA VALENZA 2/A, VALENZA (AL)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F000085E52EA997771C41B92B283E82065341"|"500"|"006177"|"Valenza"
"13943"|"slot"|"EA010174754A"|"VIGNONE (VB)"|"VIA DONATI 8, VIGNONE (VB)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000E64459145B801C41EC479B3BAC695341"|"300"|"103003"|"Arizzano"
"13944"|"slot"|"EA670157043J"|"VERBANIA (VB)"|"PIAZZA DANIELE RANZONI 11, VERBANIA (VB)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F000021FCF1894C801C4158367D46C3675341"|"500"|"103072"|"VERBANIA"
"13945"|"slot"|"EA010122301A"|"SEZZADIO"|"PIAZZA LIBERTA' 5, SEZZADIO (AL)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F000097ADFF83D0731C411158C8E6F5EA5241"|"300"|"006161"|"Sezzadio"
"13946"|"slot"|"EA670127568H"|"VERBANIA (VB)"|"CORSO MAMELI 35, VERBANIA (VB)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F000003E4E2A8BA7E1C41A3F1CB939B675341"|"500"|"103072"|"VERBANIA"
"13947"|"slot"|"EA010187859A"|"DORMELLETTO (NO)"|"PIAZZA PIRALI 1, DORMELLETTO (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F000006FA28FA107D1C41A707064081515341"|"300"|"003062"|"Dormelletto"
